Actuator ID,x,y,z
'09-03,-2.113734471,-3.759004248,4.86992937
'09-04,-1.836606406,-3.759004248,4.869929205
'09-05,-1.6980422,-3.759004248,5.109929109
'09-06,-1.836606126,-3.759004248,5.349929117
'09-07,-2.217658051,-3.759004248,6.009929335
'09-08,-2.356222151,-3.759004248,6.249929345
'09-09,-2.633350216,-3.759004248,6.24992925
'09-10,-2.771914198,-3.759004248,6.009929203
'09-11,-2.633350115,-3.759004248,5.769929287
'09-12,-2.356221999,-3.759004248,5.76992934
'09-A,-1.975170328,-3.759004248,5.109929287
'09-B,-2.494786101,-3.759004248,6.009929316
'10-01,-1.836606341,-3.759004248,6.669148075
'10-02,-1.698042341,-3.759004248,6.909148038
'10-03,-1.836606437,-3.759004248,7.14914802
'10-04,-2.113734502,-3.759004248,7.14914802
'10-05,-2.252298565,-3.759004248,6.909148033
'10-06,-2.113734497,-3.759004248,6.669148107
'10-07,-1.594119145,-3.759004248,6.369929375
'10-08,-1.316990989,-3.759004248,6.369929343
'10-09,-1.178426988,-3.759004248,6.609929306
'10-10,-1.316991085,-3.759004248,6.849929287
'10-11,-1.59411915,-3.759004248,6.849929287
'10-12,-1.732683213,-3.759004248,6.609929301
'10-A,-1.975170438,-3.759004248,6.90914802
'10-B,-1.455555085,-3.759004248,6.609929287
'11-01,-2.736597002,-3.759004248,6.909146133
'11-02,-2.874821857,-3.759004248,7.149341582
'11-03,-3.15194971,-3.759004248,7.14973307
'11-04,-3.290852675,-3.759004248,6.909929128
'11-05,-3.152627831,-3.759004248,6.669733613
'11-06,-2.87550004,-3.759004248,6.669342128
'11-07,-2.356221497,-3.759004248,6.969929383
'11-08,-2.217657473,-3.759004248,7.209929438
'11-09,-2.35622162,-3.759004248,7.449929316
'11-10,-2.633349749,-3.759004248,7.449929184
'11-11,-2.771913699,-3.759004248,7.209929192
'11-12,-2.633349563,-3.759004248,6.969929248
'11-A,-3.013724822,-3.759004248,6.909537603
'11-B,-2.49478557,-3.759004248,7.209929287
'12-01,-3.1529648,-3.759004248,5.949929493
'12-02,-3.291528943,-3.759004248,5.709929613
'12-03,-3.152964989,-3.759004248,5.469929549
'12-04,-2.875836924,-3.759004248,5.469929385
'12-05,-2.737272718,-3.759004248,5.709929289
'12-06,-2.875836644,-3.759004248,5.949929297
'12-07,-3.256888084,-3.759004248,6.609929306
'12-08,-3.395452185,-3.759004248,6.849929316
'12-09,-3.67258025,-3.759004248,6.849929221
'12-10,-3.811144232,-3.759004248,6.609929174
'12-11,-3.672580149,-3.759004248,6.369929258
'12-12,-3.395452033,-3.759004248,6.369929311
'12-A,-3.014400846,-3.759004248,5.709929467
'12-B,-3.534016135,-3.759004248,6.609929287
